Albania Tirana
Australia Canberra
Austria Vienna
Belarus Minsk
Belgium Brussels
Burundi Bujumbura
Chile Santiago
Cyprus Nicosia
Denmark Copenhagen
Dominica Roseau
Ecuador Quito
Egypt Cairo
Fiji Suva
France Paris
Georgia Tbilisi
Greece Athens
Haiti Port-au-prince
Hungary Budapest
Iceland Reykjavik
Iran Tehran
Italy Rome
Japan Tokyo
Jordan Amman
Kenya Nairobi
Kosovo Pristina
Lebanon Beirut
Liechtenstein Vaduz
Malta Valletta
Moldova Chisinau
Monaco Monaco
Namibia Windhoek
Netherlands Amsterdam
Oman Muscat
Peru Lima
Portugal Lisbon
Qatar Doha
Romania Bucharest
Russia Moscow
Seychelles Victoria
Singapore Singapore
Spain Madrid
Thailand Bangkok
Turkey Ankara
Uganda Kampala
Uruguay Montevideo
Venezuela Caracas
Vietnam Hanoi
Yemen Sana'a
Zambia Lusaka
Zimbabwe Harare
